Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
66564,Text,2021-10-18,The Heart's Domain,en,"Duhamel, Georges, 1884-1966; Brooks, Eleanor Stimson [Translator]","World War, 1914-1918 -- Influence; French essays -- Translations into English",PQ,"Category: Essays, Letters & Speeches; Category: Philosophy & Ethics"
66565,Text,2021-10-19,Child Life and Sex Hygiene: A Remarkable Message,en,"Smith, Otterbein Oscar, 1858-",Sexual ethics,HQ,Category: Health & Medicine; Category: Psychiatry/Psychology; Category: Parenthood & Family Relations; Category: Sexuality & Erotica; Category: Teaching & Education
66566,Text,2021-10-17,The History of Philosophy in Islam,en,"Boer, T. J. de (Tjitze J.), 1866-1942; Jones, Edward R. [Translator]",Islamic philosophy -- History,B,Category: History - Other; Category: Philosophy & Ethics; Category: Religion/Spirituality
66567,Text,2021-10-19,Naplegenda,hu,"Bánffy, Miklós, 1874-1950",Hungarian drama -- 20th century,PH,"Category: Novels; Category: Mythology, Legends & Folklore"
66568,Text,2021-10-19,Jane--Our Stranger: A Novel,en,"Borden, Mary, 1886-1968",Married women -- Fiction; Americans -- France -- Fiction; Husband and wife -- Fiction; Families -- Fiction; Aristocracy (Social class) -- France -- Fiction,PR,Category: Novels; Category: British Literature
66569,Text,2021-10-19,Flight Perilous!,en,"Noll, Ray C.; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Space ships -- Fiction; Space flight to Mars -- Fiction,PS,Category: Science-Fiction & Fantasy; Category: Novels
66570,Text,2021-10-19,Hunting License,en,"McConnell, James V., 1925-1990; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Short stories; Criminals -- Fiction; Hunting stories,PS,"Category: Science-Fiction & Fantasy; Category: Crime, Thrillers and Mystery; Category: Humour; Category: American Literature"
66571,Text,2021-10-19,Moonlight and Robots,en,"Dunham, Jerry",Science fiction; Short stories; Man-woman relationships -- Fiction; Robots -- Fiction; Marriage customs and rites -- Fiction,PS,Category: Short Stories; Category: Science-Fiction & Fantasy
66572,Text,2021-10-19,The Voyage of Vanishing Men,en,"Mullen, Stanley, 1911-1974; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Short stories; Storytelling -- Fiction; Space ships -- Fiction; Outer space -- Exploration -- Fiction; Bars (Drinking establishments) -- Fiction,PS,Category: Science-Fiction & Fantasy; Category: Novels
66573,Text,2021-10-20,3½ Monate Fabrik-Arbeiterin,de,"Wettstein-Adelt, Minna, 1869-1908?",Women -- Employment; Women -- Employment -- Germany -- Saxony; Women's rights -- Germany; Factories -- Employees,HD; HQ,Category: Biographies; Category: German Literature; Category: History - Modern (1750+); Category: Gender & Sexuality Studies; Category: Sociology
66574,Text,2021-10-20,A Matter of Ethics,en,"Winterbotham, R. R. (Russell Robert), 1904-1971; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Short stories; Man-woman relationships -- Fiction; Human-alien encounters -- Fiction; Earth (Planet) -- Fiction,PS,Category: Science-Fiction & Fantasy
66575,Text,2021-10-20,"Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 45, Vol. I, November 8, 1884",en,Various,Periodicals,AP,Category: History - Modern (1750+); Category: Science - Earth/Agricultural/Farming; Category: Journals
66576,Text,2021-10-20,"The Collected Works of Ambrose Bierce, Volume 10
The Opinionator",en,"Bierce, Ambrose, 1842-1914?",American literature; American essays,PS,"Category: Essays, Letters & Speeches; Category: American Literature"
66577,Text,2021-10-20,We Were There at the Normandy Invasion,en,"Knight, Clayton, 1891-1969; Royce, Ralph, 1890-1965 [Contributor]","World War, 1939-1945 -- Juvenile fiction",PZ,Category: Historical Novels; Category: Children & Young Adult Reading; Category: History - European; Category: History - Modern (1750+); Category: History - Warfare
66578,Text,2021-10-20,Vándorlásaim és élményeim Persiában,hu,"Vámbéry, Ármin, 1832-1913","Iran -- Description and travel; Vámbéry, Ármin, 1832-1913 -- Travel -- Iran",DS,Category: Travel Writing
66579,Text,2021-10-20,"Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 46, Vol. I, November 15, 1884",en,Various,Periodicals,AP,Category: History - Modern (1750+); Category: Art; Category: Sports/Hobbies; Category: Nature/Gardening/Animals; Category: Journals
66580,Text,2021-10-20,"Colville of the Guards, Volume 1 (of 3)",en,"Grant, James, 1822-1887",Soldiers -- Fiction; British -- Afghanistan -- Fiction,PR,Category: Historical Novels; Category: Romance; Category: British Literature
66581,Text,2021-10-20,"Colville of the Guards, Volume 2 (of 3)",en,"Grant, James, 1822-1887",Soldiers -- Fiction; British -- Afghanistan -- Fiction,PR,Category: Historical Novels; Category: Novels
66582,Text,2021-10-20,"Colville of the Guards, Volume 3 (of 3)",en,"Grant, James, 1822-1887",Soldiers -- Fiction; British -- Afghanistan -- Fiction,PR,Category: Historical Novels; Category: Romance; Category: Novels; Category: British Literature
66583,Text,2021-10-21,The magic of jewels and charms,en,"Kunz, George Frederick, 1856-1932",Gems -- Folklore; Charms -- Folklore; Amulets -- Folklore,GR,"Category: Mythology, Legends & Folklore; Category: History - Other; Category: Archaeology & Anthropology"
66584,Text,2021-10-21,The World of Chance,en,"Howells, William Dean, 1837-1920",New York (N.Y.) -- Fiction; Man-woman relationships -- Fiction; Novelists -- Fiction; Publishers and publishing -- Fiction,PS,Category: Novels; Category: American Literature
66585,Text,2021-10-21,"The Boy's King Arthur
Sir Thomas Malory's History of King Arthur and His Knights of the Round Table",en,"Malory, Thomas, Sir, -1471; Lanier, Sidney, 1842-1881 [Editor]; Wyeth, N. C. (Newell Convers), 1882-1945 [Illustrator]","Folklore -- England; Arthur, King -- Legends; Arthurian romances -- Adaptations; Knights and knighthood -- Folklore",PZ,"Category: Children & Young Adult Reading; Category: Mythology, Legends & Folklore; Category: British Literature"
66586,Text,2021-10-21,"Finsk bilderbok
10 teckningar",sv,"Topelius, Zacharias, 1818-1898; Åkerblom, Rudolf, 1849-1925 [Illustrator]","Children's poetry, Swedish",PZ,Category: Children & Young Adult Reading; Category: Poetry
66587,Text,2021-10-21,Cliquot: A Racing Story of Ideal Beauty,en,"Ferguson, Kate Lee, 1841-1928",Man-woman relationships -- Fiction; Horse racing -- Fiction; Southern States -- Social life and customs -- Fiction,PS,Category: Romance; Category: Adventure; Category: Novels
66588,Text,2021-10-21,A Man-Sized Pet,en,"Tuttle, W. C. (Wilbur C.), 1883-1969","Short stories; West (U.S.) -- Fiction; Pets -- Fiction; Simpkins, Magpie (Fictitious character) -- Fiction",PS,Category: Short Stories; Category: Humour
66589,Text,2021-10-22,Az élet értelme és értéke,hu,"Eucken, Rudolf, 1846-1926; Schöpflin, Aladár, 1872-1950 [Translator]",Philosophy; Life,BD,Category: Philosophy & Ethics
66590,Text,2021-10-22,Problem Planet,en,"Winterbotham, R. R. (Russell Robert), 1904-1971; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Short stories; Life on other planets -- Fiction; Castaways -- Fiction; Interpersonal relations -- Fiction,PS,Category: Science-Fiction & Fantasy; Category: Novels
66591,Text,2021-10-22,"La metamorfosis, o, El asno de oro",es,"Apuleius; López de Cortegana, Diego, 1455-1524 [Translator]","Metamorphosis -- Fiction; Latin fiction -- Translations into Spanish; Mythology, Classical -- Fiction",PA,"Category: Novels; Category: Mythology, Legends & Folklore; Category: Classics of Literature"
66592,Text,2021-10-22,The Last Duchess of Belgarde,en,"Seawell, Molly Elliot, 1860-1916","France -- History -- Revolution, 1789-1799 -- Fiction; Husband and wife -- Fiction; Aristocracy (Social class) -- France -- Fiction",PS,Category: Historical Novels; Category: Novels
66593,Text,2021-10-22,Nem én kiáltok,hu,"József, Attila, 1905-1937",Hungarian poetry,PH,Category: Poetry
66594,Text,2021-10-22,Lord Lister No. 0004: De millioenenschat in de Doodkist,nl,"Matull, Kurt, 1872-1920; Blankensee, Theo von, 1881-1928",Detective and mystery stories -- Periodicals; Dime novels -- Periodicals,PT,"Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels"
66595,Text,2021-10-22,Monumentum Ancyranum: The Deeds of Augustus,en; la; el,"Augustus, Emperor of Rome, 64 BCE-14; Fairley, William, 1857-1918 [Editor]","Augustus, Emperor of Rome, 63 B.C.-14 A.D.; Rome -- History -- Augustus, 30 B.C.-14 A.D. -- Sources",DG,Category: Biographies; Category: History - Ancient
66596,Text,2021-10-22,"The Punishment of the Stingy, and Other Indian Stories",en,"Grinnell, George Bird, 1849-1938; Deming, Edwin Willard, 1860-1942 [Illustrator]",Indians of North America -- Folklore,E011; GR,"Category: Short Stories; Category: Mythology, Legends & Folklore"
66597,Text,2021-10-22,Early Carriages and Roads,en,"Gilbey, Walter, Sir, 1831-1914",Great Britain -- Social life and customs; Communication and traffic; Carriages and carts; Vehicles -- History,HE,Category: History - British; Category: History - Early Modern (c. 1450-1750); Category: History - Modern (1750+)
66598,Text,2021-10-22,"Historical Record of the Thirty-sixth, or the Herefordshire Regiment of Foot: containing an account of the formation of the regiment in 1701, and of its subsequent services to 1852",en,"Cannon, Richard, 1779-1865","Great Britain. Army. Regiment of Foot, 36th -- History; Great Britain. Army. Herefordshire Light Infantry -- History",UA,Category: History - British; Category: History - Early Modern (c. 1450-1750); Category: History - Modern (1750+); Category: History - Warfare
66599,Text,2021-10-23,"Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 47, Vol. I, November 22, 1884",en,Various,Periodicals,AP,Category: Journals
66600,Text,2021-10-23,Short Story-Writing: An Art or a Trade?,en,"Fagin, N. Bryllion (Nathan Bryllion), 1892-1971",Short story,PN,"Category: Essays, Letters & Speeches; Category: Journalism/Media/Writing"
66601,Text,2021-10-23,A Point of Testimony,en,"Wells, Carolyn, 1862-1942",Short stories; Detective and mystery stories; Murder -- Investigation -- Fiction; Detectives -- Fiction,PS,"Category: Crime, Thrillers and Mystery; Category: Novels"
66602,Text,2021-10-23,At the Queen's Mercy,en,"Blodgett, Mabel Fuller, 1869-1959; Sandham, Henry, 1842-1910 [Illustrator]",Africa -- Fiction; Fantasy fiction; Adventure stories,PS,Category: Adventure; Category: Novels
66603,Text,2021-10-24,A babonák könyve,hu,"Varga, János, 1844-1881",Superstition; Parapsychology,BF,Category: History - Other; Category: Philosophy & Ethics; Category: Sociology
66604,Text,2021-10-24,Der Fall Vukobrankovics,de,"Weiss, Ernst, 1882-1940; Leonhard, Rudolf, 1889-1953 [Editor]","Piffl, Antonie; Thury, Elisabeth, 1894-1973 -- Trials, litigation, etc.; Murder -- Austria -- Vienna -- Case studies; Trials (Murder) -- Austria -- Vienna",HV; KJ; PT,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: German Literature"
66605,Text,2021-10-24,Sarah of the Sahara: A Romance of Nomads Land,en,"Chappell, George S. (George Shepard), 1877-1946",Adventure stories; Man-woman relationships -- Fiction; Egypt -- Fiction; Explorers -- Fiction; Sahara -- Fiction; Burlesque (Literature),PS,Category: Romance; Category: Adventure; Category: Novels
66606,Text,2021-10-24,"Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 48, Vol. I, November 29, 1884",en,Various,Periodicals,AP,Category: Journals
66607,Text,2021-10-24,"Story of the automobile: Its history and development from 1760 to 1917
With an analysis of the standing and prospects of the automobile industry",en,"Barber, H. L. (Herbert Lee), 1865-1937",Automobiles -- History,TL,Category: History - Modern (1750+); Category: Engineering & Technology
66608,Text,2021-10-24,Export Commodity,en,"Cox, Irving E., 1917-2001; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Short stories; Extraterrestrial beings -- Fiction; Human-alien encounters -- Fiction; Earth (Planet) -- Fiction,PS,Category: Science-Fiction & Fantasy
66609,Text,2021-10-25,Augustus: The Life and Times of the Founder of the Roman Empire,en,"Shuckburgh, Evelyn S. (Evelyn Shirley), 1843-1906","Emperors -- Rome -- Biography; Rome -- History -- Augustus, 30 B.C.-14 A.D.; Augustus, Emperor of Rome, 63 B.C.-14 A.D.",DG,Category: Biographies; Category: History - Ancient
66610,Text,2021-10-25,Practical Agitation,en,"Chapman, John Jay, 1862-1933","United States -- Politics and government; Political ethics; Politics, Practical -- United States",JK,Category: Philosophy & Ethics; Category: Politics
66611,Text,2021-10-25,Lord Lister No. 0005: De zwarte man in het slaapvertrek,nl,"Matull, Kurt, 1872-1920; Blankensee, Theo von, 1881-1928",Detective and mystery stories -- Periodicals; Dime novels -- Periodicals,PT,"Category: Crime, Thrillers and Mystery; Category: Novels"
66612,Text,2021-10-26,Wanted: One Sane Man,en,"Robinson, Frank M., 1926-2014; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Space flight to the moon -- Fiction,PS,Category: Science-Fiction & Fantasy; Category: Novels
66613,Text,2021-10-26,The Last Plunge,en,"Sackett, Samuel J. (Samuel John), 1928-2018; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Short stories; Hunting -- Fiction; Hunters -- Fiction; Uranus (Planet) -- Fiction,PS,Category: Science-Fiction & Fantasy; Category: Novels
66614,Text,2021-10-26,"Historical Record of the Thirty-ninth, or the Dorsetshire Regiment of Foot: containing an account of the formation of the regiment in 1702, and of its subsequent services to 1853.",en,"Cannon, Richard, 1779-1865","Great Britain. Army. Dorset Regiment -- History; Great Britain. Army. Regiment of Foot, 39th (Dorsetshire) -- History",UA,Category: History - British; Category: History - Warfare
66615,Text,2021-10-26,"Birálatok, 1861-1903",hu,"Gyulai, Pál, 1826-1909",Hungarian literature -- History and criticism,PH,"Category: Essays, Letters & Speeches"
66616,Text,2021-10-26,"Elementary Course in Woodwork
Designed for use in high and technical schools, with one hundred and thirty-four illustrations: First Edition",en,"Ross, George Alexander",Woodwork (Manual training),TT,Category: Engineering & Technology; Category: How To ...
66617,Text,2021-10-27,Lord Alistair's Rebellion,en,"Upward, Allen, 1863-1926",Fiction,PR,Category: Novels; Category: British Literature
66618,Text,2021-10-27,The Pioneer,en,"Cox, Irving E., 1917-2001; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Short stories; Conflict of generations -- Fiction; Space travelers -- Fiction; Psychic ability -- Fiction,PS,Category: Science-Fiction & Fantasy; Category: Novels
66619,Text,2021-10-27,"The Oxford Book of English Verse, 1250-1900",en,"Quiller-Couch, Arthur, 1863-1944 [Editor]",English poetry,PR,Category: Poetry; Category: Classics of Literature; Category: British Literature
66620,Text,2021-10-27,Ascanio,en,"Dumas, Alexandre, 1802-1870","France -- History -- Francis I, 1515-1547 -- Fiction",PQ,Category: Historical Novels; Category: Romance; Category: Novels; Category: French Literature
66621,Text,2021-10-27,"Historical Record of the Fifty-sixth, or the West Essex Regiment of Foot
Containing an account of the formation of the regiment in 1755, and of its subsequent services to 1844.",en,"Cannon, Richard, 1779-1865","Great Britain. Army. Regiment of Foot, 56th (West Essex) -- History",UA,Category: History - British; Category: History - European; Category: History - Modern (1750+); Category: History - Warfare
66622,Text,2021-10-27,Fiander's Widow: A Novel,en,"Francis, M. E., 1859-1930",Widows -- Fiction; Man-woman relationships -- Fiction; Dorset (England) -- Fiction; Dairy farms -- Fiction,PR,Category: Novels; Category: British Literature
